시군구코드,지정년도,지정번호,신청일자,지정일자,취소일자,불가일자,업소명,소재지도로명,소재지지번,허가(신고)번호,업태명,주된음식,영업장면적(㎡),행정동명,급수시설구분
3200000,2001,0133,20010630,20010701,20070725,,도노텀블 보라매점,서울특별시 관악구 보라매로 15-8, 1층 (봉천동),서울특별시 관악구 봉천동  735번지 10호  ,3200000-101-1997-05919,한식,돼지갈비,129.62,보라매동,상수도전용
3200000,2008,421 ,20080710,20080725,20131204,,장군식당,서울특별시 관악구 남부순환로 1597-7, 지하1층-1층 (신림동),서울특별시 관악구 신림동  1433번지 78호  ,3200000-101-2008-00163,호프/통닭,갈비,65.90,신림동,
3200000,,,20080710,,20161109,,장수촌,서울특별시 관악구 봉천로 382, 1층 (봉천동),서울특별시 관악구 봉천동  931번지 1호  ,3200000-101-1997-01617,한식,,83.01,은천동,상수도전용
3200000,2001,0064,20010630,20010701,20060405,,로향,서울특별시 관악구 낙성대로 12, 1층 (봉천동),서울특별시 관악구 봉천동  1627번지 13호  ,3200000-101-1997-09385,한식,갈비,125.40,낙성대동,상수도전용
3200000,2019,0003,20190830,20191111,,,정성,서울특별시 관악구 관악로 154-5, 2층 (봉천동),서울특별시 관악구 봉천동  1598번지 2호  ,3200000-101-2016-00035,일식,초밥,66.00,낙성대동,상수도전용
3200000,2005,0299,20050614,20050630,20070727,,영진식당,서울특별시 관악구 조원로2길 7, 1층 (신림동),서울특별시 관악구 신림동  1656번지  ,3200000-101-2003-00462,기타,감자탕,224.79,조원동,
3200000,2007,400 ,20070720,20070727,20080725,,영진식당,서울특별시 관악구 조원로2길 7, 1층 (신림동),서울특별시 관악구 신림동  1656번지  ,3200000-101-2003-00462,기타,냉면,224.79,조원동,
3200000,2013,527 ,20130701,20131105,20170731,,라공방 서울대점,서울특별시 관악구 관악로 163, (봉천동, 2호),서울특별시 관악구 봉천동  863번지 2호  ,3200000-101-1988-00829,중국식,국밥,수육,147.20,청룡동,상수도전용
3200000,2014,543 ,20140704,20141110,20161109,,진&정,서울특별시 관악구 난곡로63길 56, (신림동, 지상1층),서울특별시 관악구 신림동  1484번지 3호  ,3200000-101-2005-00157,한식,청국장,보쌈정식,96.41,미성동,상수도전용
3200000,2018,81  ,20130701,20181109,,,짬뽕지존 봉천점,서울특별시 관악구 남부순환로 1770, (봉천동, 지상1층),서울특별시 관악구 봉천동  894번지 20호  ,3200000-101-2007-00052,한식,,152.40,청룡동,
